productid,productname,category
1,"herbisida obat pembasmi rumput liar, gulma, alang2 - gross",Pestisida & Obat Pertanian
2,"DESTHIN obat hama tanaman, ulat, kutu putih, hama daun",Pestisida & Obat Pertanian
3,Antracol Fungisida-Obat Jamur Tanaman 70WP-250gr,Pestisida & Obat Pertanian
4,100ml Pestisida Organik Neem Oil /Minyak Mimba dari Biosfer Organik,Pestisida & Obat Pertanian
5,"obat pembasmi pohon dan akar, racun pohon, starlon herbisida",Pestisida & Obat Pertanian
6,[ BUMBU DAPUR ] REMPAH  ALL VARIAN / MURNI BUMBU MASAK / BUMBUTIGER - Garlic,Produk Pertanian Segar
7,100gr Jahe Kering / Dried Ginger/ Rempah / JSR 100% PREMIUM QUALITY,Produk Pertanian Segar
8,BIJI MAHONI 1 KG KERING SUPER REMPAH BU RISMA - 100 gram,Produk Pertanian Segar
9,Bumbu Rempah Asli Daribumi - Ketumbar Bubuk,Produk Pertanian Segar
10,Kayu Manis Batang Berat 1Kg Rempah Bu Risma - 500 gram,Produk Pertanian Segar
11,KIRIM INSTAN Paket Sayur Potong Sop Lodeh Capcay Sayur Asem - Sop,Produk Pertanian Segar
12,Mangga Harum Manis (1kg) Sayurbox,Produk Pertanian Segar
13,Pepaya California Sayurbox,Produk Pertanian Segar
14,Pisang (Banana) Cavendish (500gr) Sayurbox,Produk Pertanian Segar
15,selada keriting fresh,Produk Pertanian Segar
16,Wortel Berastagi Baby Konvensional 500 gram Sayurbox,Produk Pertanian Segar
17,Booster Pump Waterplus BR 220 DPA Mesin Pendorong Air Otomatis,Sarana dan Peralatan Irigasi
18,Connector Offtake Selang Drip,Sarana dan Peralatan Irigasi
19,"Dop 3 in PVC / Dop 3"" / Tutup Pipa",Sarana dan Peralatan Irigasi
20,DRIP TETES BOTOL Water Cone Drip IRIGASI TETES Kran Otomatis Botol - Drip belimbing,Sarana dan Peralatan Irigasi
21,Irigasi Tetes otomatis / Drip Tetes Sistem Alat Irigasi Drip Botol AM,Sarana dan Peralatan Irigasi
22,MOLLAR PP25W Pompa Air DC 12 Volt Push Pump 12V 25 Watt,Sarana dan Peralatan Irigasi
23,"SELANG AIR ANTI LUMUT CUCI MOBIL / SELANG AIR DAN WATERGUN SPRAY - 3 meter, 1per2inc",Sarana dan Peralatan Irigasi
24,SELANG AIR PERMETER / SELANG ANTI LUMUT 1/2 5/8 3/4 INCH SELANG TAMAN - 1/2,Sarana dan Peralatan Irigasi
25,"SELANG DRIP IRIGASI 3/4"" 180 METER 160 MIKRON LEBAR 4 CM TANI LESTARI",Sarana dan Peralatan Irigasi
26,EVCO Extra Virgin Coconut Oil 500ml Minyak Kelapa Murni Asli VCO,Produk Olahan Pertanian
27,VCO MURNI 1 LITER Asli Minyak Kelapa Cold Pressed Virgin Coconut Oil 1L Kualitas Terbaik Alam,Produk Olahan Pertanian
28,Lampu UV Grow Light Spectrum Gantung Sorot Tanaman Hidroponik LED 50W - USB 21LED 10W,Teknologi Pertanian
29,Jaring atap/teduh Paranet shade net 75% list terpal mata ayam,Perlengkapan Rumah Kaca dan Pembibitan
30,Bubble Wrap Hitam Surabaya! Kirim Kilat 1.25M x 50M! Termurah ! - Medium 2.2Kg,Bahan Pengemasan dan Logistik
31,BUBBLE WRAP ROLL 30CM X 50 METER BUBLE WRAP - Hitam Ekonomis,Bahan Pengemasan dan Logistik
32,BUBBLE WRAP UNTUK TAMBAHAN PACKING,Bahan Pengemasan dan Logistik
33,Lampu UV LED Sorot Tanaman Grow Light Hidroponik Full Spectrum,Teknologi Pertanian
34,Grow Light Led Lampu Bohlam Uv Tanaman Hidroponik Indoor Full Spectrum - BOHLAM,Teknologi Pertanian
35,Lampu Cahaya Tanaman Tumbuhan Hidroponik LED Grow Light E27 220V - 8W,Perlengkapan Rumah Kaca dan Pembibitan
36,FOAM TRAY TR 5 - STYROFOAM TRAY BUAH TR5 - ISI 250 PCS,Bahan Pengemasan dan Logistik
37,FOAM TRAY TR-1 STYROFOAM TRAY BUAH TR 1 / TR1 ISI 250 PCS,Bahan Pengemasan dan Logistik
38,KARDUS BOX POLOS KARTON PACKING 30 x 20 x 10 CM,Bahan Pengemasan dan Logistik
39,Keripik Apel standart 100 gram kripik buah Malang,Produk Olahan Pertanian
40,KARDUS PACKING 20x20x15 cm / BOX KARTON CORUGATED B-FLUTE / PACKING,Bahan Pengemasan dan Logistik
41,KARDUS PACKING 20x10x8 cm / BOX KARTON CORUGATED B-FLUTE / PACKING,Bahan Pengemasan dan Logistik
42,Kardus / Dus / Box Tambahan Extra Packing Dos,Bahan Pengemasan dan Logistik
43,Tray Semai - Tempat Semai Benih Tanaman 105 Lubang - 72,Perlengkapan Rumah Kaca dan Pembibitan
44,Keripik Nangka standart 100 gram kripik buah Malang,Produk Olahan Pertanian
45,Plastik Wrap Wrapping Stretch Film 300M x 50CM x 17 Micron 300 M Meter,Bahan Pengemasan dan Logistik
46,Plastik Wrapping 25cm / Stretch Film Wrap 25 cm - 25cmX150m ECO,Bahan Pengemasan dan Logistik
47,Plastik Wrapping 30cm / Stretch Film Wrap 30 cm - 30cm Bening MED,Bahan Pengemasan dan Logistik
48,Plastik Wrapping / Stretch Film Hitam 15 cm / wrapping 15cm - 15cm150m BngECO,Bahan Pengemasan dan Logistik
49,Plastik Wrap Wrapping Stretch Film 200M x 50CM x 17 Micron 200 M Meter,Bahan Pengemasan dan Logistik
50,Plastik Wrapping Barang Stretch Film 50cm Delkochoice - Bening50x100m,Bahan Pengemasan dan Logistik
51,Keripik Salak standart 100 gram kripik buah Malang,Produk Olahan Pertanian
52,Paket Set Selang Irigasi Penyiram Tanaman Drip Hidroponik TaffHOME,Perlengkapan Rumah Kaca dan Pembibitan
53,Digital Soil Analyzer Tester Meter Alat Ukur pH Tanah 4 in 1 SPH004 - 3 in 1,Teknologi Pertanian
54,Digital Automatic Irigasi Timer Air Taman Otomatis Garden Water Alat,Teknologi Pertanian
55,"Minyak Kelapa Ikan Dorang Spesial 4 pcs x 450ml (Total 1,8L 1800 ml)",Produk Olahan Pertanian
56,minyak goreng kelapa spesial ikan dorang 5 liter,Produk Olahan Pertanian
57,Minyak Kelapa Ikan Dorang Spesial 450ml (Ã2) Pouch Refill,Produk Olahan Pertanian
58,Abon Ikan Tuna Asli - Tanpa campuran kentang bawang goreng,Produk Olahan Pertanian
59,TDS Meter 3 Alat Ukur Hidroponik Air Aquarium ppm nutrisi Kolam TDS-3,Teknologi Pertanian
60,pot tanaman grace ukuran 40 cm kuping warna hitam besar / pot grace warna hitam ukuran 40 cm jumbo,Perlengkapan Rumah Kaca dan Pembibitan
61,PLASTIK MULSA KILOAN PANJANG 40 METER BERBAGAI UKURAN ULET DAN AWET,Perlengkapan Rumah Kaca dan Pembibitan
62,dxp simalungun unggul berkualitas original ppks medan,Bibit dan Benih Tanaman
63,bibit buah penyegar paket 5 macam benih buah-buahan melon blewah labu segar seribuan,Bibit dan Benih Tanaman
64,benih seribuan - paket 5 macam bibit buah penyegar buah-buahan melon blewah labu dll,Bibit dan Benih Tanaman
65,paket 4 macam benih paprika isi 16 biji sayuran merah hijau kuning ungu bibit sayur known you seed,Bibit dan Benih Tanaman
66,benih seribuan - paket 4 macam benih paprika mixed sayuran unggul,Bibit dan Benih Tanaman
67,benih seribuan - paket 5 macam bibit timun hibrida sayuran unggul,Bibit dan Benih Tanaman
68,benih timun hibrida paket 5 macam bibit sayuran mentimun unggul,Bibit dan Benih Tanaman
69,benih seribuan - paket 15 macam bibit sayur hidroponik sayuran daun unggul,Bibit dan Benih Tanaman
70,bibit sayuran hidroponik paket 15 macam benih sayur daun kangkung bayam sawi selada unggul seribuan,Bibit dan Benih Tanaman
71,benih seribuan - paket 5 macam bibit bayam sayuran unggul,Bibit dan Benih Tanaman
72,benih bayam paket 5 macam bibit sayuran bayam hijau merah unggul,Bibit dan Benih Tanaman
73,paket 5 macam benih sayuran rambat bibit sayur merambat buncis kacang pare oyong timun panjang lalap,Bibit dan Benih Tanaman
74,benih seribuan - paket 5 macam bibit sayuran rambat unggul,Bibit dan Benih Tanaman
75,benih seribuan - paket 20 macam bibit sayuran daun unggul pilihan,Bibit dan Benih Tanaman
76,benih sayuran daun paket 20 macam bibit sayur unggul kangkung seledri sawi bayam selada dll,Bibit dan Benih Tanaman
77,paket 5 macam benih sawi sawian sayuran unggul bibit sayur : sawi caisim pakcoy pahit kailan pagoda,Bibit dan Benih Tanaman
78,benih seribuan - paket 5 macam bibit aneka sawi sawian unggul,Bibit dan Benih Tanaman
79,benih seribuan - paket 5 macam bibit buah merambat anggur strawberry dll,Bibit dan Benih Tanaman
80,bibit buah merambat paket 5 macam benih buah-buahan anggur strawberry rambat unggul seribuan,Bibit dan Benih Tanaman
81,benih seribuan - paket 5 macam bibit strawberry buah stroberi unggul,Bibit dan Benih Tanaman
82,bibit strawberry paket 5 macam benih buah stroberi unggul seribuan,Bibit dan Benih Tanaman
83,benih seribuan - paket 5 macam bibit bunga matahari unggul,Bibit dan Benih Tanaman
84,bibit bunga matahari paket 5 macam benih sunflower giant seribuan,Bibit dan Benih Tanaman
85,benih seribuan - paket 5 macam bibit buah semangka f1 hibrida,Bibit dan Benih Tanaman
86,bibit semangka paket 5 macam benih buah semangka non biji jumbo f1 hibrida seribuan,Bibit dan Benih Tanaman
87,benih seribuan - paket 10 macam bibit sayuran panen buah hibrida,Bibit dan Benih Tanaman
88,bibit sayuran paket 10 macam benih sayur buah hibrida terong timun tomat cabe,Bibit dan Benih Tanaman
89,benih seribuan - paket 25 macam bibit buah buahan lengkap,Bibit dan Benih Tanaman
90,bibit buah paket 25 macam benih buah-buahan lengkap seribuan,Bibit dan Benih Tanaman
91,paket 15 macam benih sayuran pemula sayur daun 30 hari panen murah kangkung bayam sawi bawang dll,Bibit dan Benih Tanaman
92,benih seribuan - paket 15 macam bibit sayuran daun 30 hari panen,Bibit dan Benih Tanaman
93,paket 5 macam benih sayuran terong f1 hibrida bibit sayur : terong lalap ungu hijau telunjuk panjang,Bibit dan Benih Tanaman
94,benih seribuan - paket 5 macam bibit aneka terong f1 hibrida,Bibit dan Benih Tanaman
95,bibit buah paket 10 macam benih buah-buahan strawberry pepaya melon seribuan,Bibit dan Benih Tanaman
96,benih seribuan - paket 10 macam bibit buah buahan unggul,Bibit dan Benih Tanaman
97,benih seribuan - paket 5 macam bibit sayuran daun 30 hari panen unggul,Bibit dan Benih Tanaman
98,paket 5 macam benih sayuran daun 30 hari panen bayam kangkung sawi pakcoy selada bibit tanaman sayur,Bibit dan Benih Tanaman
99,bibit cabe terpedas paket 5 macam benih cabai rekor terpedas di dunia,Bibit dan Benih Tanaman
100,benih seribuan - paket 5 macam bibit cabe rekor terpedas di dunia,Bibit dan Benih Tanaman
101,benih seribuan - paket 5 macam bibit tomat sayuran unggul,Bibit dan Benih Tanaman
102,bibit tomat paket 5 macam benih sayur sayuran tomat cherry unggul,Bibit dan Benih Tanaman
103,benih seribuan - paket komplit 50 macam bibit sayur sayuran unggul,Bibit dan Benih Tanaman
104,"bibit sayuran paket komplit 50 macam benih sayuran unggul kangkung, bayam terong tomat cabe sawi selada timun",Bibit dan Benih Tanaman
105,paket 5 macam benih sayuran lalap : kemangi selada merah timun tomat bibit tanaman sayur seribuan,Bibit dan Benih Tanaman
106,benih seribuan - paket 5 macam benih sayuran sayuran lalap,Bibit dan Benih Tanaman
107,paket 5 macam benih cabe cabai rawit merah hijau putih keriting besar bibit tanaman sayur sayuran,Bibit dan Benih Tanaman
108,benih seribuan - paket 5 macam bibit cabe konsumsi rawit unggul,Bibit dan Benih Tanaman
109,bibit cabe paket 10 macam benih sayuran cabai konsumsi rawit hijau besar keriting,Bibit dan Benih Tanaman
110,benih seribuan - paket 10 macam bibit cabe konsumsi sayuran cabai rawit hibrida,Bibit dan Benih Tanaman
111,bibit sayuran paket lengkap 25 macam benih sayuran pemula 30 hari panen kangkung cabe sawi terong,Bibit dan Benih Tanaman
112,benih seribuan - paket lengkap 25 macam bibit sayur sayuran pemula,Bibit dan Benih Tanaman
113,INFARM - Pupuk Organik Cair Tanaman Buah / Bunga 500mL POC Kompos,Pupuk dan Nutrisi Tanaman
114,INFARM - Paket Nutrisi Organik POC Sayur 500ml POC Buah 500ml,Pupuk dan Nutrisi Tanaman
115,INFARM - Pupuk Organik Cair Tanaman Cabai 100 ML POC Kompos,Pupuk dan Nutrisi Tanaman
116,Paket Pupuk Nutrisi Organik POC Sayur 500ml POC Buah 500ml,Pupuk dan Nutrisi Tanaman
117,VIT-O KEMASAN 5000ml/5 Liter pupuk cair organik segala tanaman teknologi jepang,Pupuk dan Nutrisi Tanaman
118,Pupuk Organik Cair (POC) - Untuk Segala Jenis Tanaman - Organic Liquid Fertilizer - Pelebat Buah,Pupuk dan Nutrisi Tanaman
119,POC - Pupuk Organik Cair tanaman buah 500ml - Pupuk Organik Alami Pelebat Buah,Pupuk dan Nutrisi Tanaman
120,Pupuk Organik Cair Tanaman Buah /Bunga 500ml POC kompos RTS,Pupuk dan Nutrisi Tanaman
121,PUPUK ORGANIK CAIR POC SAYURAN DAUN 500ML,Pupuk dan Nutrisi Tanaman
122,Pupuk organik/vitamin/nutrisi tanaman VIT-O 1 Liter vitamin organik tanaman,Pupuk dan Nutrisi Tanaman
123,Vit-O plus probiotik akar Bio Banzai vitamin organik alami plus probiotik akar nutrisi lengkap segala tanaman,Pupuk dan Nutrisi Tanaman
124,"INFARM - Paket Pupuk Booster Magic , POC Buah, POC Sayur, Miracle Powder Untuk Menyuburkan Tanaman",Pupuk dan Nutrisi Tanaman
125,INFARM - Miracle Powder Pupuk 3 In 1 Pembenah Media Tanam Penyubur Daun Dan Memperkuat Batang,Pupuk dan Nutrisi Tanaman
126,INFARM - Paket Pupuk Pelebat Buah Organik POC Buah dan Fruit Expert,Pupuk dan Nutrisi Tanaman
127,INFARM - Pupuk Organik Cair Tanaman Cabai 1L POC Pupuk Organik Pelebat Buah Cabai Cabe,Pupuk dan Nutrisi Tanaman
128,INFARM - Nutrisi dan Perangsang Akar Tanaman Stek 100 ml,Pupuk dan Nutrisi Tanaman
129,INFARM - Nutrisi dan Perangsang Akar Tanaman Stek 125 ml,Pupuk dan Nutrisi Tanaman
130,Pupuk Organik Cair Biosfer - Spesial untuk pertumbuhan Sayur Daun dan Buah,Pupuk dan Nutrisi Tanaman
131,500ml Pupuk Cair Daun Super Siap Pakai By Blooming Fertilizer,Pupuk dan Nutrisi Tanaman
132,Pupuk Cair Daun Super Spray Siap Pakai by BLOOMING Fertilizer 250ml,Pupuk dan Nutrisi Tanaman
133,500ml Pupuk Bunga Super By Blooming Fertilizer,Pupuk dan Nutrisi Tanaman
134,INFARM - Hormon Auksin Perangsang Akar 30 ml Kemasan Fliptop Organik,Pupuk dan Nutrisi Tanaman
135,INFARM - Seed Booster Giberelin Hormon Penumbuh Pemecah Benih Untuk Semua Tanaman,Pupuk dan Nutrisi Tanaman
136,INFARM - Media Tanam Organik Pupuk Kandang Gratis Label Tanaman 2 liter,Pupuk dan Nutrisi Tanaman
137,"INFARM - Media Tanam Organik Pupuk Kandang Gratis Label Tanaman 2,5 liter",Pupuk dan Nutrisi Tanaman
138,"INFARM - Media Tanam Organik Pupuk Kandang 2,5 liter",Pupuk dan Nutrisi Tanaman
139,"Infarm Media Tanam Organik Pupuk Kandang 2,5 liter",Pupuk dan Nutrisi Tanaman
140,INFARM - Pupuk Organik Guano 250 gram Pupuk Penyubur Tanah,Pupuk dan Nutrisi Tanaman
141,INFARM - Pupuk Organik Cair Tanaman Bunga 500 ml POC Kompos Melebatkan Bunga,Pupuk dan Nutrisi Tanaman
142,INFARM - Pupuk Organik EM4 Mikroorganisme Pertanian Ukuran 1 Liter Original,Pupuk dan Nutrisi Tanaman
143,INFARM - Pupuk Organik Cair Tanaman Buah / Bunga 1L POC Kompos,Pupuk dan Nutrisi Tanaman
144,DODOS SPP 777 dan DODOS Camel.,Alat dan Mesin Pertanian
145,COD - ALAT KASTRASI SAWIT / DODOS KASTRASI SAWIT,Alat dan Mesin Pertanian
146,DODOS KASTRASI SAWIT / ALAT KASTRASI SAWIT.,Alat dan Mesin Pertanian
147,DODOS KASTRASI SAWIT / ALAT KASTRASI SAWIT,Alat dan Mesin Pertanian
148,BISA COD ALAT KASTRASI SAWIT / DODOS KASTRASI SAWIT,Alat dan Mesin Pertanian
149,Garuk Untuk Membuat atau Membersihkan Piringan sawit,Alat dan Mesin Pertanian
150,DODOS SPP777.,Alat dan Mesin Pertanian
151,BISA COD - DODOS KASTRASI SAWIT / ALAT KASTRASI SAWIT.,Alat dan Mesin Pertanian
152,DODOS SBL.,Alat dan Mesin Pertanian
153,ALAT KASTRASI SAWIT.,Alat dan Mesin Pertanian
154,INFARM - Netpot Hitam 5 cm Hidroponik DFT NFT Rakit Apung Eceran,Alat dan Mesin Pertanian
155,INFARM - Pot Semai 10 Cm (Elastis Dan Tidak Mudah Pecah),Alat dan Mesin Pertanian
156,Infarm Pot Semai 8 Cm (Elastis Dan Tidak Mudah Pecah),Alat dan Mesin Pertanian
157,INFARM - Pot Semai 8 Cm (Elastis Dan Tidak Mudah Pecah),Alat dan Mesin Pertanian
158,Pot Semai 8 cm (elastis dan tidak mudah pecah),Alat dan Mesin Pertanian
159,Pot Semai 10 cm (elastis dan tidak mudah pecah),Alat dan Mesin Pertanian
160,Infarm Bak Pot Hidroponik Sistem Wick 5 Liter,Alat dan Mesin Pertanian
161,INFARM - Bak Pot Hidroponik Sistem Wick 5 Liter,Alat dan Mesin Pertanian
162,Bak/Pot Hidroponik Syistem Wick Infarm,Alat dan Mesin Pertanian
163,Cangkul Pacul Ayam +gagang cangkul kayu terpasang siap pakai,Alat dan Mesin Pertanian
164,Cangkrang+gagang kayu besar/cangkrang garukan sampah terpasang (1set),Alat dan Mesin Pertanian
165,SEKOP PASIR BUAYA / SEKOP PASIR BUAYA MODEL LANCIP,Alat dan Mesin Pertanian
166,MATRIX MESIN POTONG RUMPUT GENDONG 4 TAK BRUSH CUTTER 4 STROKE KUALITAS TERBAIK,Alat dan Mesin Pertanian
167,MESIN POTONG RUMPUT GENDONG 4 TAK BRUSH CUTTER 4 STROKE KUALITAS TERBAIK,Alat dan Mesin Pertanian
168,MESIN POTONG RUMPUT / BRUSH CUTTER 2 TAK 328,Alat dan Mesin Pertanian
169,TIGER Mesin Traktor Sawah Bajak Mini Power Cultivator Tiller GT800 GT 800 ORIGINAL TERBAIK,Alat dan Mesin Pertanian
170,"MESIN POMPA AIR SAWAH IRIGASI ALKON WATER PUMP 2 INCH 2"" WP 20 TERBAIK",Alat dan Mesin Pertanian
171,SELANG SPIRAL 2 IN SELANG SEDOT SELANG HISAP 2 INCH POMPA ALKON,Alat dan Mesin Pertanian
172,Mesin Traktor Mini Cultivator MAESTRO ZC100T / Mesin Bajak Sawah Basah Kering - Tiller Cultivator MAESTRO ZC 100T,Alat dan Mesin Pertanian
173,Mesin Potong Rumput TESLA BG-328T 2 Tak / SUMURA Portable Brush Cutter Pemotong Rumput BG328T BG 328 TANOSS,Alat dan Mesin Pertanian
174,Mesin Potong Rumput Tesla BG-328T Portable Brush Cutter BG328T,Alat dan Mesin Pertanian
175,Mesin Potong Rumput TESLA BG-328T / Portable Brush Cutter Pemotong Rumput BG328T BG 328,Alat dan Mesin Pertanian
176,Mesin Potong Rumput TESLA BG-328T / Portable Brush Cutter Pemotong Rumput BG328T BG 328 TANOSS,Alat dan Mesin Pertanian
177,Sprayer Tanaman 2Liter / Semprotan Hama  2L / Jet Pump Preassure Sprayer 2 Liter,Alat dan Mesin Pertanian
178,Sprayer Tanaman DRAGON HNL HL H&L 2Liter / Semprotan Hama  2L / Jet Pump Preassure Sprayer 2 Liter DBS2,Alat dan Mesin Pertanian
179,Sprayer Tanaman DRAGON 2Liter / Semprotan Hama  2L / Jet Pump Preassure Sprayer 2 Liter DBS2,Alat dan Mesin Pertanian
180,Chainsaw Maestro CS6500L / Mesin Gergaji Kayu Chainsaw Maestro Laser Tip CS 6500 L,Alat dan Mesin Pertanian
181,Garden Rake Besi Tugas Berat Rake Besi Weeder Dengan Alat Pertanian Gardening Hoe Weeding Rake,Alat dan Mesin Pertanian
182,Cangkul Mini Kecil Berkebun Sayuran Bahan Besi Untuk Kebun Sayuran Cangkul Portable,Alat dan Mesin Pertanian
183,Alat Tanam Bibit Sayuran Alat Penanam Benih Bercocok Tanam Berkebun,Alat dan Mesin Pertanian
184,Alat Penanam Bibit Pertanian Untnk Tanam Tanaman Kebun Bulb Planter Tahan Lama Alat Pelubang Tanah,Alat dan Mesin Pertanian
185,Alat Tanam Sayur Tancap Manual Simple Planter Jagung Kacang Tanah Kedelai Benih Biji-Bijian,Alat dan Mesin Pertanian
186,Cangkul Tip Kecil Baja Mangan Cangkul Anti Lengket Tanah Sawah Cangkul Segitiga,Alat dan Mesin Pertanian
187,5 Head Sprayer Sprinkler Penyiram Tanaman Efisiensi Tingg Semprotan Air Tanaman Untuk Taman,Alat dan Mesin Pertanian
188,40cm 50cm Weeding Rake Bahan Besi Weeding Garu Harrow Manual Garukan Tanah Buat Berkebun 11 Gigi,Alat dan Mesin Pertanian
189,Sp2ï¼40cm 50cm Weeding Rake Bahan Besi Weeding Garu Harrow Manual Garukan Tanah Buat Berkebun 11 Gigi,Alat dan Mesin Pertanian
190,3 In 1 Pacul Cangkul Berkebun Baja Mangan Sekop Tanah Kapak Taman Multifungsi Untuk Pertanian,Alat dan Mesin Pertanian
191,Sekop Tanah Penyiangan Multifungsi Sekop Kotoran Sapi Baja Mangan Sekop Rata Sekop Pembersih Kotoran,Alat dan Mesin Pertanian
192,ISKU Pressure Sprayer Multi Fungsi 5L Alat Semprot Tanaman 5 Liter/Semprotan Multi Fungsi Penyemprot,Alat dan Mesin Pertanian
193,ISKU Pressure Sprayer 1L/2L Botol Semprotan Tanaman Manual /alat semprot tanaman 2L Botol Semprot,Alat dan Mesin Pertanian
194,ISKU Semprotan Rumput Sprayer 5L Dan Botol Semprot 1L,Alat dan Mesin Pertanian
195,ISKU Semprotan Rumput Sprayer 5 Liter Dan Botol Semprot 1 Liter,Alat dan Mesin Pertanian
196,[2PCS] ISKU Alat Semprot Tanaman 5L Dan Botol Semprot 2L/Sprayer 5 Liter,Alat dan Mesin Pertanian
197,ISKU Gunting Rumput Taman Gunting tanaman gunting pangkas daun rumput dahan ranting,Alat dan Mesin Pertanian
198,ISKU Gergaji Besi Multifungsi Adjustable Ukuran Saws 8 10 12 Inch 300mm Panjang/Gergaji Pohon/Gergaji Kayu,Alat dan Mesin Pertanian
199,DXP LONSUM UNGGUL PP LONDON SUMATERA BIBIT UNGGUL BERKUALITAS,Bibit dan Benih Tanaman
200,DXP SRIWIJAYA SJ 5 SAMPOERNA AGRO,Bibit dan Benih Tanaman
201,DXP SRIWIJAYA SJ 5 SAMPOERNA AGRO BESRTIFIKAT,Bibit dan Benih Tanaman
202,VERDANT SELECT DxP Dami G 2,Bibit dan Benih Tanaman
